@relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-

@attribute distance numeric
@attribute duration numeric
@attribute exhalationLevel numeric
@attribute isSafe {true, false}
@data 
13,30,30,true
6,30,10,true
27,30,50,true
13,15,50,true
13,120,10,true
27,120,30,true
6,15,30,true
13,199,8,false
49,16,7,true
14,214,87,false
37,185,40,false
39,101,15,true
52,175,20,false
48,184,97,false
10,120,99,false
49,1,43,true
37,126,39,false
2,91,70,false
37,30,38,true
4,6,6,false
24,151,64,false
7,210,68,false
38,217,35,false
44,44,16,true
16,239,87,false
20,145,36,false
1,70,82,false
22,229,25,false
21,92,22,false
38,20,11,true
25,149,93,false
39,76,80,false
43,119,13,true
46,124,28,false
3,24,83,false
11,142,37,false
38,136,24,false
27,15,10,true
27,150,50,false
15,76,7,true
45,100,36,false
14,33,8,true
50,194,92,false
13,12,39,true
23,138,73,false
13,65,7,true
29,89,7,true
0,5,20,false
22,73,97,false
37,224,49,false
31,54,87,false
30,192,87,false
32,71,3,true
21,109,81,false
33,197,16,false
42,18,8,true
11,225,48,false
8,120,0,false
25,124,46,false
3,81,36,false
3,113,51,false
7,65,13,false
4,162,48,false
44,194,87,false
36,98,27,true
40,52,32,false
38,26,16,true
42,37,14,true
51,123,43,false
49,113,39,false
2,129,81,false
43,192,65,false
29,20,52,false
17,1,10,true
35,96,96,false
31,43,93,false
47,72,9,true
0,1,1,false
28,59,52,false
15,190,98,false
31,184,82,false
11,201,42,false
19,44,54,false
46,106,18,true
18,12,36,true
47,206,41,false
24,37,32,false
13,130,49,false
