Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
assignment1.ADerivingMain,a:deriving:main,@SocialDistanceMVCDerivingMain,social:distance:mvc:deriving:main,main,main,none,none,assignment1.SocialDistanceModelFactory,social:distance:model:factory,@SocialDistanceModelFactory,social:distance:model:factory,setSingleton,set:singleton
assignment1.ADerivingMain,a:deriving:main,@SocialDistanceMVCDerivingMain,social:distance:mvc:deriving:main,main,main,none,none,assignment1.ADerivingModel,a:deriving:model,@SocialDistancDerivingModel,social:deriving:model,ADerivingModel,a:deriving:model
assignment1.ASocialDistanceController,a:social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,Scanner,scanner
assignment1.ASocialDistanceController,a:social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
assignment1.ASocialDistanceController,a:social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
assignment1.ASocialDistanceController,a:social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,nextInt,next:int
assignment1.ASocialDistanceController,a:social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
assignment1.ASocialDistanceController,a:social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,close,close
assignment1.ASocialDistanceController,a:social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
assignment1.ASocialDistanceController,a:social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,nextInt,next:int
assignment1.ASocialDistanceController,a:social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
